player_id,session_id,timestamp,event_type,object_id,x_position,y_position,reaction_time,score
1,5514,2026-01-15 14:10:18.869,click,0,-5.73,-3.59,0.783,1
1,5514,2026-01-15 14:10:20.792,click,0,-3.45,-0.53,1.924,1
1,5514,2026-01-15 14:10:22.149,click,3,3.00,-3.02,4.064,1
1,5514,2026-01-15 14:10:22.806,click,4,3.90,-0.12,4.721,1
1,5514,2026-01-15 14:10:23.195,click,2,4.51,1.37,5.110,1
1,5514,2026-01-15 14:10:24.255,click,4,-2.17,-0.59,1.448,1
1,5514,2026-01-15 14:10:24.743,click,1,-1.94,3.91,6.658,1
1,5514,2026-01-15 14:10:25.414,click,3,-5.99,2.46,3.264,1
1,5342,2026-01-15 14:12:44.169,click,2,1.84,0.33,6.978,1
1,5342,2026-01-15 14:12:45.287,click,0,-0.58,2.47,8.097,1
1,5342,2026-01-15 14:12:48.885,click,4,-0.35,-3.26,11.695,1
1,5342,2026-01-15 14:12:49.560,click,3,5.94,-2.68,12.370,1
1,5342,2026-01-15 14:12:49.991,click,0,6.33,-1.02,4.704,1
1,5342,2026-01-15 14:12:50.413,click,2,7.05,0.25,6.246,1
1,5342,2026-01-15 14:12:50.731,click,3,6.52,0.50,1.171,1
1,5342,2026-01-15 14:12:51.179,click,0,4.68,-0.76,1.189,1
1,5342,2026-01-15 14:12:52.038,click,1,3.12,1.38,14.848,1
1,5342,2026-01-15 14:12:52.694,click,3,2.36,-0.54,1.963,1
1,5342,2026-01-15 14:12:53.473,click,1,-1.14,1.45,1.435,1
1,5342,2026-01-15 14:12:53.902,click,0,-4.27,1.55,2.723,1
1,5342,2026-01-15 14:12:54.318,click,1,-6.10,0.79,0.844,1
1,5342,2026-01-15 14:12:56.583,click,3,0.40,-3.37,3.889,1
1,5342,2026-01-15 14:12:56.940,click,4,1.28,-3.71,8.054,1
1,5342,2026-01-15 14:12:57.457,click,3,1.24,-0.94,0.874,1
1,5342,2026-01-15 14:12:58.292,click,1,0.36,-0.59,3.974,1
1,5342,2026-01-15 14:12:59.189,click,1,-0.63,-3.37,0.898,1
1,5342,2026-01-15 14:12:59.808,click,2,-7.62,-3.38,9.393,1
1,5342,2026-01-15 14:13:00.573,click,2,0.57,-3.97,0.765,1
1,5342,2026-01-15 14:13:01.475,click,3,7.67,-2.65,4.018,1
1,5342,2026-01-15 14:13:01.927,click,1,7.10,2.88,2.737,1
1,5342,2026-01-15 14:13:02.271,click,0,6.82,3.30,8.369,1
1,5342,2026-01-15 14:13:02.922,click,3,2.92,3.32,1.447,1
1,5342,2026-01-15 14:13:03.503,click,2,-3.80,3.89,2.930,1
1,5342,2026-01-15 14:13:03.954,click,0,-7.34,2.58,1.683,1
1,5342,2026-01-15 14:13:04.473,click,2,-0.47,1.82,0.970,1
1,5342,2026-01-15 14:13:04.773,click,0,-0.80,2.53,0.818,1
1,5342,2026-01-15 14:13:05.123,click,2,0.05,3.86,0.649,1
1,5342,2026-01-15 14:13:06.310,click,4,4.16,0.55,9.371,1
1,5342,2026-01-15 14:13:06.835,click,2,0.89,2.01,1.712,1
1,5342,2026-01-15 14:13:07.304,click,3,0.67,-0.59,4.382,1
1,5342,2026-01-15 14:13:09.280,click,2,-0.48,-0.69,2.445,1
1,5277,2026-01-15 14:21:36.719,click,3,0.11,3.32,1.219,1
1,5277,2026-01-15 14:21:36.924,click,2,-0.54,3.06,1.425,1
1,5277,2026-01-15 14:21:37.509,click,4,0.43,1.93,2.009,1
1,5277,2026-01-15 14:21:37.807,click,2,-3.10,2.48,0.883,1
1,5277,2026-01-15 14:21:38.409,click,1,-5.31,3.44,2.909,1
1,5277,2026-01-15 14:21:38.736,click,4,-1.64,3.54,1.227,1
1,5277,2026-01-15 14:21:39.542,click,4,-1.38,1.21,0.806,1
1,5277,2026-01-15 14:21:40.115,click,2,5.42,-0.35,2.307,1
1,5277,2026-01-15 14:21:41.202,click,1,-0.06,-1.55,2.793,1
